journal,domain,tier,issn,total_dois,article_count_2024plus,crossref_title
Sustainable Computing: Informatics and Systems,cs_ai,T3,2210-5379,1149,298,Sustainable Computing Informatics and Systems
Computational Particle Mechanics,cs_ai,T3,2196-4378;2196-4386,1126,528,Computational Particle Mechanics
IEEE Transactions on Computational Imaging,cs_ai,T3,2573-0436;2333-9403;2334-0118,1114,313,IEEE Transactions on Computational Imaging
IEEE Transactions on Learning Technologies,cs_ai,T3,1939-1382;1939-1382;2372-0050,1096,491,IEEE Transactions on Learning Technologies
Discover Artificial Intelligence,cs_ai,T3,2731-0809,1067,2555,Discover Artificial Intelligence
IEEE Transactions on Big Data,cs_ai,T3,2332-7790,1049,381,IEEE Transactions on Big Data
Interdisciplinary Sciences: Computational Life Sciences,cs_ai,T3,1913-2751;1867-1462,1040,226,Interdisciplinary Sciences Computational Life Sciences
Computational Methods and Function Theory,cs_ai,T3,1617-9447;2195-3724,1026,78,Computational Methods and Function Theory
Digital Communications and Networks,cs_ai,T3,2352-8648,1014,444,Digital Communications and Networks
Complex & Intelligent Systems,cs_ai,T3,,994,994,
Nature Computational Science,cs_ai,T3,2662-8457,973,350,Nature Computational Science
Computational Methods in Applied Mathematics,cs_ai,T3,1609-4840;1609-9389,963,80,Computational Methods in Applied Mathematics
International Journal of Data and Network Science,cs_ai,T3,2561-8148;2561-8156,943,413,International Journal of Data and Network Science
Proceedings of the ACM on Management of Data,cs_ai,T3,2836-6573,903,620,Proceedings of the ACM on Management of Data
Networks and Spatial Economics,cs_ai,T3,1566-113X;1572-9427,863,103,Networks and Spatial Economics
Optical Memory and Neural Networks,cs_ai,T3,1060-992X;1934-7898,856,201,Optical Memory and Neural Networks
Networks and Heterogeneous Media,cs_ai,T3,1556-1801;1556-181X,855,137,Networks and Heterogeneous Media
IEEE Transactions on Signal and Information Processing over Networks,cs_ai,T3,2373-776X,851,224,IEEE Transactions on Signal and Information Processing over Networks
Foundations of Computational Mathematics,cs_ai,T3,1615-3375;1615-3383,841,78,Foundations of Computational Mathematics
Journal of the Computational Structural Engineering Institute of Korea,cs_ai,T3,1229-3059;2287-2302,825,87,Journal of the Computational Structural Engineering Institute of Korea
Journal of computational fluids engineering,cs_ai,T3,1598-6071;3022-6252,822,70,Journal of computational fluids engineering
Journal of Intelligent & Fuzzy Systems,cs_ai,T3,,819,819,
